"stil","ime_nemscina","opis_materiala_nemscina","opis_artikla_nemscina"
"01.0872","Regenjacke","Außen: 100% Ripstop Nylon, wasserdicht, Innen: 100% Polyester Netz, Ärmelfutter: 100% Polyester Taffeta®","Integrierte Kapuze, elastischer Kordelzug am Bund, 3 Vordertaschen mit versiegeltem Reißverschluss, Netzfutter in Kontrastfarbe, 2 Stopper in den Vordertaschen, Veredelungszugang am Rücken"
"01.0880","Bodywarmer","285g/m², Außen: 65% Polyester, 35% Baumwolle, Innen: 100% schwere Nylon Wattierung","Wasserabweisend, verstellbare Windstopper mit Kordelzug und Stoppern in den Armausschnitten, Kombi-Verschluss mit durchgehendem Reißverschluss und Druckknöpfen, 5 Außentaschen, 1 Innentasche, länger geschnittener Rücken"
"01.0902","Ungefütterter Damen Windbreaker","100% Nylon Taffeta®","Taillierter Schnitt, wasserabweisend, Kragen mit integrierter Kapuze, verstellbarer Kordelzug am Bund, verdeckter Reißverschluss, 2 Fronttaschen, Falten und Verstauen der Jacke nach dem K-Way-System in einer Tasche mit doppeltem Reißverschluss"
"01.0910","Damen Segeljacke","Außen: 100% Taslan Nylon, Innen: 100% Polyester Netz, Ärmelfutter: 100% Polyester Taffeta®","Taillierter Schnitt, wasserdicht, verstellbarer Kragen mit 2 Stoppern und Zugkordel, abnehmbare Kapuze mit Reißverschluss, Windschutzblende mit Klettverschluss, Windblende innen, Nähte versiegelt, länger geschnittener Rücken, Netzfutter, Klettverschluss in Kontrastfarbe"
"01.0925","Damen Winter Parka","Außen: 100% 330D Oxford Polyester, Beschichtung PU, Innen: 100% Antipilling Polyester Microfleece oben auf Rückenpasse, 100% Polyester Taffeta® mit Steppfutter","Taillierter Schnitt, wasserdicht (1.000mm Wassersäule), hoher Kragen mit integrierter Kapuze, Velcro®-Klettverschluss am Ärmelbündchen, 2 Taschen mit Reißverschluss mit Blende vorne, Innentasche mit Reißverschluss, teilweise verschweißte Nähte, Veredelungszugang am Rücken"
"01.0930","Herren Bodywarmer","200g/m², Außen: 100% Nylon Taffeta®, Innen: 100% Polyester Wattierung gesteppt","Wasserabweisend, offener Bund, 2 Seitentaschen mit Reißverschluss und Blende, 1 Innentasche, abgerundetes verlängertes Rückenteil, Rückenmittelpanel ohne Steppnaht, Veredelungszugang"
"01.0935","Damen Kapuzen Bodywarmer","Außen: 100% weiches Taslan Full-Dull Nylon, Innen: 100% Polyester Taffeta®, wattiertes Futter (Daunenoptik)","Taillierter Schnitt, wasserabweisend, abnehmbare Kapuze, 2 Seitentaschen, Veredelungszugang im Rückenfutter, Innenfutter, Kordelzug mit 2 Stoppern am Saum"
"01.0937","Damen 3-Lagen Kapuzen Softshell Jacke","340g/m², Außen: 94% Polyester, 6% Elasthan, Softshell gewebt, atmungsaktive Schichtmembran mit Microporen, Innen: Antipilling Microfleece","Taillierter Schnitt, wasserdicht (5.000mm Wassersäule), winddicht und atmungsaktiv, abnehmbare Kapuze mit verstellbarem Kordelzug, Ärmelbündchen mit Klettverschluss, durchgehender Reißverschluss mit Kinnschutz, 2 Außentaschen mit Reißverschluss, länger geschnittener Rücken, Veredelungszugang im Futter"
"01.0938","Damen 3-Lagen Softshell Jacke","300g/m², Außen: 94% Polyester, 6% Elasthan, atmungsaktive Schichtmembran mit Microporen, Softshell gewebt, Innen: 100% Polyester Netz","Wasserdicht (5.000mm Wassersäule), wasserdicht, atmungsaktiv (5.000g/m² in 24h), windabweisend und abriebfest, verstellbares Ärmelbündchen mit Gummischlaufe und Velcro®-Klettverschlüssen, verstellbarer Bund mit elastischem Kordelzug und Stoppern, 2 Seitentaschen und 1 Brusttasche mit Reißverschluss, minimales Gewicht und Gepäckvolumen"
"01.0939","Damen 3-Lagen Softshell Gilet","Außen: 94% Polyester, 6% Elasthan, Softshell gewebt, atmungsaktive Schichtmembran mit Microporen, Innen: Antipilling Microfleece, Netzfutter: Polyester","Femininer Schnitt, wasserdicht (5.000mm Wassersäule), atmungsaktiv (1.000g/m² in 24h), hoher Kragen, abnehmbare Kapuze mit einstellbaren Kordelzügen und Stoppern, verstellbarer Bund mit elastischem Kordelzug und Stoppern, Reißverschluss mit Kinnschutz, 2 Seitentaschen vorne mit Reißverschluss, länger geschnittener Rücken, Veredelungszugang an linker Brust, Aufhängeband am Kragen hinten"
"01.0948","Herren Steppjacke","Außen: 100% Nylon, Innenfutter: 100% Polyester Taffeta® Wattierung in Daunenoptik","Wasserabweisend, abnehmbare Kapuze mit Reißverschluss, offener Bund am Saum, verdeckter Reißverschluss mit Druckknöpfen und Zipper, 2 Taschen mit Reißverschluss und Ziehbündchen, Veredelungszugang im Rückenfutter"
"01.0949","Herren Segeljacke","Außen: 100% Taslan Nylon, Innen: 100% Polyester Netz, 100% Polyester Taffeta® Nylon Ärmelfutter","Wasserdicht, verstellbarer Kragen mit 2 Stoppern und Zugkordel, abnehmbare Kapuze mit Reißverschluss, Windschutzblende mit Klettverschluss, Windpatte innen, Nähte versiegelt, länger geschnittener Rücken, Netzfutter, Klettverschluss in Kontrastfarbe"
"01.0950","Ungefütterter Kinder Windbreaker","100% Nylon Taffeta®","Wasserabweisend, Kragen mit integrierter Kapuze, Falten und Verstauen der Jacke nach dem K-Way-System in einer Tasche mit doppeltem Reißverschluss"
"01.0951","Herren 3-Lagen Softshell Jacke","300g/m², Außen: 94% Polyester, 6% Elasthan, atmungsaktive Schichtmembran mit Microporen, Softshell gewebt, versiegelte Nähte, Innen: 100% Polyester Netz","Wasserdicht (5.000mm Wassersäule), atmungsaktiv (5.000g/m² in 24h), hoher Kragen mit Kinnschutz, verstellbares Ärmelbündchen mit Gummischlaufe und Velcro®-Klettverschlüssen, unten verstellbarer Bund mit elastischem Kordelzug und Stoppern, 2 Taschen vorne mit Reißverschluss, 1 Brusttasche rechts mit Reißverschluss, minimales Gewicht und Gepäckvolumen"
"01.0969","Kinder 3-Lagen Softshell Jacke","340g/m², Außen: Softshell gewebt, 94% Polyester, 6% Elasthan, atmungsaktive Schichtmembran mit Microporen, Innen: Antipilling Microfleece","3-lagiges Softshellmaterial, wasserdicht (5.000mm Wassersäule), atmungsaktiv (1.000g/m² in 24h), abnehmbare Kapuze, eingesetzte Ärmel, Ärmelbündchen mit Velcro®-Verschlusslaschen und geprägtem Plastik-Zug, Reißverschluss mit Kinnschutz, 2 Seitentaschen vorne mit Reißverschluss, länger geschnittener Rücken, Veredelungszugang innen, Aufhängeband am Kragen hinten"
"01.0970","Herren Winter Parka","Außen: 100% Oxford Polyester, PU Beschichtung, Innen: 100% Polyester Taffeta®, Futter: Polyester Steppfutter, 100% Antipilling Polyester Microfleece oben auf Rückenpasse","Wasserdicht (1.000mm Wassersäule), hoher Kragen mit integrierter Kapuze, Velcro®-Klettverschluss einstellbares Ärmelbündchen mit Zug, 2 Taschen vorne mit Reißverschluss und Sturmklappe, Innentasche mit Reißverschluss, teilweise verschweißte Nähte, Veredelungszugang im Rückenfutter"
"01.0B01","Damen Bio T-Shirt","160g/m², 100% Fair Trade zertifizierte gekämmte Bio-Baumwolle, Single Jersey","Sehr taillierter Schnitt, Rundhalsausschnitt in 1x1 Rippstrick, Fair Trade"
