"stil","ime_anglescina","opis_materiala_anglescina","opis_artikla_anglescina"
"01.0413","Piqué Polo with Stripes","180g/m², 100% preshrunk combed ringspun cotton","Knitted polo shirt collar and cuffs with contrasting stripes, 1x1 rib knit collar and cuffs, reinforced 3 button-placket, button-placket inside and necktape"
"01.0414","Piqué Polo long-sleeve","180g/m², 100% preshrunk combed ringspun cotton, ash: 99% cotton, 1% viscose, heather grey: 90% cotton, 10% viscose","1x1 rib knit collar and cuffs, reinforced 3 button-placket with buttons tone-in-tone"
"01.0415","Piqué Polo with Breast Pocket","180g/m², 100% preshrunk combed ringspun cotton, ash: 99% cotton, 1% viscose","1x1 rib knit collar and cuffs, reinforced 3 button-placket with buttons tone-in-tone, left breast pocket reinforced with lining"
"01.0422","Heavy Piqué Polo","230g/m², 100% preshrunk combed ringspun cotton, ash: 99% cotton, 1% viscose, heather grey: 90% cotton, 10% viscose","Renewed model 01.U426 (article: My Polo 210), 1x1 rib knit collar and cuffs, reinforced 3 button-placket with buttons tone-in-tone, side slits, very fine piqué"
"01.0423","Heavy Piqué Polo long-sleeve","230g/m², 100% preshrunk combed ringspun cotton, heather grey: 90% cotton, 10% viscose","1x1 rib knit collar and cuffs, reinforced 3 button-placket with buttons tone-in-tone, side slits, very fine piqué"
"01.0430","Men's Organic Piqué Polo","170g/m², 100% pre-shrunk ringspun certified organic cotton in conversion, heather grey: 90% pre-shrunk ringspun certified organic cotton in conversion, 10% viscose","Classic cut, 1x1 rib collar and cuffs, 2 button-placket with tone-in-tone buttons, necktape, TearAway label, neutral size label"
"01.0440","Ladies' Organic Piqué Polo","170g/m², 100% pre-shrunk ringspun certified organic cotton in conversion, heather grey: 90% pre-shrunk ringspun certified organic cotton in conversion, 10% viscose","Lightly tailored fit, 1x1 rib collar and cuffs, 2 button-placket with tone-in-tone buttons, necktape, TearAway label, neutral size label"
"01.0455","Ladies' Piqué Polo","180g/m², 100% preshrunk combed ringspun cotton, heather grey: 90% cotton, 10% viscose","Renewed model My Polo 180 women (article: 01.W461), very tailored cut, 1x1 rib knit collar and cuffs, 2 button-placket with tone-in-tone buttons"
"01.0456","Ladies' Piqué Polo long-sleeve","180g/m², 100% preshrunk combed ringspun cotton","Very tailored cut, collar with 1x1 rib knit, 4 button-placket tone-in-tone, side slits"
"01.0460","Heavy Ladies' Piqué Polo","230g/m², 100% preshrunk combed ringspun cotton","Very tailored cut, collar with 1x1 rib knit, 2 button-placket with tone-in-tone buttons, side slits, fine piqué"
"01.0486","Kids' Piqué Polo","180g/m², 100% preshrunk combed ringspun cotton, ash: 99% cotton, 1% viscose, heather grey: 90% cotton, 10% viscose","1x1 rib knit collar and cuffs, reinforced 2 button-placket"
"01.0520","Poplin Stretch Blouse 3/4 Sleeve","135g/m², 97% combed cotton, 3% elastane","Tailored fit, 2-button cuff, buttons tone-in-tone, cotton/elastane mono-stretch, plain back for embroidery, 40° washable"
"01.0580","Poplin Stretch Shirt long-sleeve","135g/m², 97% combed cotton, 3% elastane","Tailored fit, buttons tone-in-tone, 2 spare buttons, without breast pocket, without folds on back for embroidery, cotton/elastane mono-stretch, 40° washable"
"01.0600","Sweater","280g/m², 80% combed ringspun cotton, 20% polyester, outside: cotton, inside: brushed fleece","1x1 rib collar, cuffs and hem with elastane, PST-yarn technology, fine soft surface, low shrinkage"
"01.0610","Sweatshirt Open Hem","280g/m², 80% combed ringspun cotton, 20% polyester, outside: cotton, inside: brushed fleece","Collar in 1x1 rib knit with elastane, side slits, PST-yarn technology, fine soft surface"
"01.0620","Hooded Sweatshirt","280g/m², 80% combed ringspun cotton, 20% polyester, outside: cotton, inside: brushed fleece","Lined hood with cord, kangaroo pocket on the front with reinforced seams, double seams on shoulder and sleeves, PST-yarn technology, fine soft surface"
"01.0641","Ladies' Hooded Sweat Jacket","280g/m², 80% combed ringspun cotton, 20% polyester, outside: cotton, inside: polyester, French Terry (not roughened inside)","Tailored fit, hood with single jersey lining, cuffs and hem in 2x2 rib knit, zip puller in star shape, gathering effect on slide-in pockets and sleeve base, fine soft surface"
"01.0642","Ladies' Hooded Sweat Jacket","280g/m², 80% combed ringspun cotton, 20% polyester, outside: cotton, inside: unbrushed polyester","Tailored fit, hood with cord, concealed tone-in-tone zip, 2 slide-in pockets, fine soft surface"
"01.0645","Men's Hooded Sweat Jacket","280g/m², 80% combed ringspun cotton, 20% polyester, outside: cotton, inside: brushed fleece","Hood and kangaroo pocket with binding in 2x2 rib knit, set in sleeves with flatlock stitching, sleeve cuffs and waistband in 2x2 rib knit, PST-yarn technology, fine soft surface"
"01.0646","Men's Sweat Jacket","280g/m², 80% combed ringspun cotton, 20% polyester, outside: cotton, inside: brushed fleece","Tailored fit, sleeve cuffs and waistband in 2x2 rib knit, 2 side pockets built into decorative seams, topstitch-flatlock-seams, PST-yarn technology, fine soft surface"
"01.0647","Men's Hooded Sweat Jacket","280g/m², 80% combed ringspun cotton, 20% polyester, outside: cotton, inside: brushed fleece","Hood with cord, concealed tone-in-tone zip, fine soft surface"
"01.0680","Kids' Sweater","280g/m², 80% combed ringspun cotton, 20% polyester, outside: cotton, inside: brushed fleece","1x1 rib collar, cuffs and hem with elastane, PST-yarn technology, fine soft surface, woven label with name field and cm information"
"01.0681","Kids' Hooded Sweater","280g/m², 80% combed ringspun cotton, 20% polyester, outside: cotton, inside: brushed fleece","2-layer hood without cord, kangaroo pocket with reinforced seams, shoulder seam and armholes with flatlock topstitch, PST-yarn technology, fine soft surface"
"01.0682","Kids' Hooded Sweat Jacket","280g/m², 80% combed ringspun cotton, 20% polyester, outside: cotton, inside: brushed fleece","Hood without cord, concealed tone-in-tone zip, PST-yarn technology, fine soft surface, low shrinkage"
"01.0703","Fleece Jacket","300g/m², 100% polyester, antipilling fleece","Stand-up collar, open hem with elastic drawstring with stoppers, zip tone-in-tone, easy-to-use zipper system, 2 pockets with zip, horizontal seam below the chest"
"01.0704","Fleece Pullover with 1/4 Zip","300g/m², 100% polyester, antipilling fleece","Open hem with elastic drawstring with stoppers, zip tone-in-tone, easy-to-use zipper system, 2 side pockets (inside pockets made of interlock material)"
"01.0705","Fleece Vest","300g/m², 100% polyester, antipilling fleece","Stand-up collar, open hem, 2 front pockets with zip, longer cut back, armholes and hem with piping tone-in-tone"
"01.0717","Men's Microfleece Jacket","170g/m², 100% polyester, antipilling microfleece","Tailored fit, open hem on bottom and sleeves, ideal for wearing under high-tec jackets, maximum insulation for minimum weight and compact design"
"01.0749","3-Layer Microfleece Jacket","320g/m², 100% polyester, antipilling microfleece","Breathable membrane, elastic cuffs, full-length inner windproof comfort placket, 2 concealed side pockets, elastic drawstring with 2 stoppers, comfortable stretch fleece, high thermal insulation, windproof, rainproof"
"01.0752","Ladies' Microfleece Jacket","170g/m², 100% polyester, antipilling microfleece","Tailored fit, open hem on bottom and sleeves, ideal for wearing under high-tec jackets, maximum insulation for minimum weight and compact design"
"01.0800","Unlined Windbreaker","100% nylon Taffeta®","Water repellent, collar with integrated hood, adjustable drawstring on hem, concealed zip, fold-away jacket (K-Way system) in pocket with double zip"
"01.0801","Padded Windbreaker","Outside: 100% nylon Taffeta®, inside: 100% polyester mesh, sleeve lining: 100% polyester Taffeta® jersey fabric","Water repellent, collar with integrated hood, drawstring on the collar and hem, concealed zip with contrasting zip pull, decoration access at the back, right side pocket with K-Way-system to stow away the jacket"
"01.0802","Windbreaker","100% polyester","Stowable jacket, breathable, raglan sleeves, slim elastic binding on the hem and sleeves, 2 pockets at the front with zip and storm flap, breast pocket with printed outline, fits into a slim wrist pouch that is hidden in the right front pocket, easy stowage-self compacting, headphone guide"
"01.0822","Padded Windbreaker","Outside: 100% nylon Taffeta®, inside: 100% polyester tricot fabric, sleeve lining: 100% polyester Taffeta®","Water repellent, collar with integrated hood, adjustable cuffs, full-length concealed zip, 2 outside pockets, mesh inner lining, elastic drawstring, decoration access at back, with thermal lining made of roughened fabric"
"01.0824","Jacket with Thermal Lining","Outside: 100% nylon Taffeta®, inside: 100% polyester microfleece, sleeve lining: 100% padded quilted","Water repellent, collar with integrated hood, adjustable hem with elastic drawstring, zip in contrasting color, concealed zip, 2 outside and [2] inside pocket, contrasting inner lining, decoration access at the back"
"01.0872","Rain Jacket","Outside: 100% ripstop nylon, waterproof, inside: 100% polyester mesh, sleeve lining: 100% polyester Taffeta®","Integral hood, elastic drawstring on hem, 3 front pockets with sealed zip, contrasting mesh, 2 stoppers in front pockets, decoration access at the back"
"01.0880","Bodywarmer","285g/m², outside: 65% polyester, 35% cotton, inside: 100% heavy nylon padding","Water repellent, adjustable windstopper with drawstring and stoppers in the armholes, combination closure with full zip and press studs, 5 outside pockets, 1 inner pocket, longer cut back"
"01.0902","Unlined Ladies' Windbreaker","100% nylon Taffeta®","Tailored fit, water repellent, collar with integrated hood, adjustable drawstring on hem, concealed zip, 2 front pockets, fold-away jacket (K-Way system) in pocket with double zip"
"01.0910","Ladies' Sailing Jacket","Outside: 100% Taslan nylon, inside: 100% polyester mesh, sleeve lining: 100% polyester Taffeta®","Tailored fit, waterproof, adjustable collar with 2 stoppers and drawcord, detachable hood with zip, windshield with velcro fastener, storm flap inside, sealed seams, longer cut back, mesh lining, contrasting velcro fastener"
"01.0925","Ladies' Winter Parka","Outside: 100% 330D Oxford polyester, coating PU, inside: 100% anti-pilling polyester microfleece on top of back yoke, 100% polyester Taffeta® with quilted lining","Tailored fit, waterproof (1,000mm water column), high collar with integrated hood, Velcro® fastener on cuffs, 2 pockets with zip with cover at the front, inner pocket with zip, partly welded seams, decoration access at the back"
"01.0930","Men's Bodywarmer","200g/m², outside: 100% nylon Taffeta®, inside: 100% polyester padding quilted","Water repellent, open hem, 2 side pockets with zip and flap, 1 inner pocket, rounded extended back, back center panel without quilted seam, decoration access"
"01.0935","Ladies' Hooded Bodywarmer","Outside: 100% soft Taslan Full-Dull nylon, inside: 100% polyester Taffeta®, padded lining (with feather touch)","Tailored fit, water repellent, detachable hood, 2 side pockets, decoration access at back lining, inner lining, drawstring with 2 stoppers on the hem"
"01.0937","Ladies' 3-Layer Hooded Softshell Jacket","340g/m², outside: 94% polyester, 6% elastane, woven softshell, breathable bonded membrane with micro pores, inside: antipilling microfleece","Tailored fit, waterproof (5,000mm water column), windproof and breathable, detachable hood with adjustable drawstring, cuffs with velcro fastener, full zip with chin guard, 2 outside pockets with zip, longer cut back, decoration access in lining"
"01.0938","Ladies' 3-Layer Softshell Jacket","300g/m², outside: 94% polyester, 6% elastane, breathable bonded membrane with micro pores, woven softshell, inside: 100% polyester mesh","Waterproof (5,000mm water column), waterproof, breathable (5,000g/m² in 24h), wind repellent and abrasion resistant, adjustable cuffs with rubber loop and Velcro®-fastener, adjustable hem with elastic drawstring and stoppers, 2 side pockets and 1 breast pocket with zip, minimum of weight and pack volume"
"01.0939","Ladies' 3-Layer Softshell Vest","Outside: 94% polyester, 6% elastane, woven softshell, breathable bonded membrane with micro pores, inside: antipilling microfleece, mesh lining: polyester","Feminine fit, waterproof (5,000mm water column), breathable (1,000g/m² in 24h), high collar, detachable hood with adjustable drawstrings and stoppers, adjustable hem with elastic drawstring and stoppers, zip with chin guard, 2 side pockets at the front with zip, longer cut back, decoration access on the left chest, hanging loop on the back of the collar"
"01.0948","Men's Quilted Jacket","Outside: 100% nylon, inner lining: 100% polyester Taffeta® padding with feather touch","Water repellent, detachable hood with zip, open hem, concealed zip with press studs and zip, 2 pockets with zip and drawstring, decoration access at back lining"
"01.0949","Men's Sailing Jacket","Outside: 100% Taslan nylon, inside: 100% polyester mesh, 100% polyester Taffeta® nylon sleeve lining","Waterproof, adjustable collar with 2 stoppers and drawcord, detachable hood with zip, windshield with velcro fastener, wind flap inside, sealed seams, longer cut back, mesh lining, contrasting velcro fastener"
"01.0950","Unlined Kids' Windbreaker","100% nylon Taffeta®","Water repellent, collar with integrated hood, fold-away jacket (K-Way system) in pocket with double zip"
"01.0951","Men's 3-Layer Softshell Jacket","300g/m², outside: 94% polyester, 6% elastane, breathable bonded membrane with micro pores, woven softshell, sealed seams, inside: 100% polyester mesh","Waterproof (5,000mm water column), breathable (5,000g/m² in 24h), high collar with chin guard, adjustable cuffs with rubber loop and Velcro®-fastener, adjustable hem with elastic drawstring and stoppers, 2 front pockets with zip, 1 right breast pocket with zip, minimum of weight and pack volume"
"01.0969","Kids' 3-Layer Softshell Jacket","340g/m², outside: woven softshell, 94% polyester, 6% elastane, breathable bonded membrane with micro pores, inside: antipilling microfleece","3-layer softshell fabric, waterproof (5,000mm water column), breathable (1,000g/m² in 24h), detachable hood, set in sleeves, cuffs with Velcro® and embossed plastic-puller, zip with chin guard, 2 side pockets at the front with zip, longer cut back, decoration access inside, hanging loop on the back of the collar"
"01.0970","Men's Winter Parka","Outside: 100% Oxford polyester, PU coating, inside: 100% polyester Taffeta®, lining: polyester quilted lining, 100% anti-pilling polyester microfleece on top of back yoke","Waterproof (1,000mm water column), high collar with integrated hood, adjustable cuffs with Velcro® fastener, 2 pockets at the front with zip and storm flap, inner pocket with zip, partly welded seams, decoration access at back lining"
"01.0B01","Ladies' Organic T-Shirt","160g/m², 100% fair trade certified combed organic cotton, single jersey","Very tailored cut, round neckline with 1x1 rib knit, fair trade"
"01.0C01","Workwear T-Shirt","185g/m², 100% preshrunk ringspun cotton","2-layer collar and cuffs in 1x1 rib knit with Lycra®, set in sleeves, forward shoulder seam with reinforced flatlock-seams, 60° washable, suitable for tumble drying"
"01.0C10","Workwear Piqué Polo","230g/m², 100% preshrunk combed ringspun cotton, piqué quality","1x1 rib collar and cuffs, 3 button-placket tone-in-tone, decoration access at chest area, 60° washable, suitable for tumble drying"
"01.0C11","Workwear Piqué Polo","200g/m², 65% polyester, 35% preshrunk combed ringspun cotton","1x1 rib collar and cuffs, 3 button-placket tone-in-tone, attached sleeves, decoration access at chest area, 60° washable, suitable for tumble drying"
"01.0C12","Workwear Functional Polo","200g/m², 100% polyester COOLDRY™","Breathable, 3 button-placket tone-in-tone, sleeves with wide hem, patch breast pocket, moisture regulating, 60° washable"
"01.0C20","Workwear Sweatshirt","280g/m², 80% combed ringspun cotton, 20% polyester","Workwear-style, 2x2 ribbed collar and cuffs, reinforced collar, herringbone necktape, attached sleeves, set in sleeves, cuffs and hem in 2x2 rib knit with elastane, flatlock shoulder seams, half-moon trimming, hanging loop, low shrinkage, 60° washable"
"01.0C40","Workwear Bodywarmer","200g/m², outside: 100% windproof ripstop polyester, inner lining: 100% polyester padding","Water repellent and windproof, collar with microfleece lining, 3 velcro fasteners and 2 press studs for wind flap, zip with chin guard, 11 multifunctional pockets, double seams, longer cut back, piping at the front, elastic wind protectors"
"01.0C50","Workwear Pants","245g/m², 65% polyester, 35% combed cotton-twill","Larger belt loops at the back, elastic band in the back to adjust the width of the hem, wider hem at the bottom of the trouser leg for better adjustment of leg length (length 5cm), various functional pockets, inner pocket for knee pads reinforced with oxford fabric, side pockets with flap and Velcro® fastener, semi loose ruler pocket for greater freedom of movement, critical stress point bar tacking, reinforced seams, ring to attach cards, keys, etc., 60° washable, suitable for tumble drying"
"01.0C51","Workwear Multipocket Pants","245g/m², 65% polyester, 35% combed cotton-twill","Elastic band in the back to adjust the width of the hem, many functional pockets, Cordura® reinforced inner pocket for knee pads, deep double pocket in the front for storing the loose pockets when not in use, large loose pockets for more comfort while working, critical stress point bar tacking, reinforced seams, loop for hammer on each pants side, Velcro®-fastening system for fast and easy attachment of the tool pockets, 60° washable, suitable for tumble drying"
"01.0I12","Men's Piqué Polo long-sleeve","180g/m², 100% preshrunk ringspun cotton, heather grey: 90% cotton, 10% viscose","Flat 1x1 rib collar, reinforced 2 button-placket with buttons tone-in-tone, necktape"
"01.0I13","Ladies' Piqué Polo long-sleeve","180g/m², 100% preshrunk ringspun cotton, heather grey: 90% cotton, 10% viscose","Tailored fit, flat 1x1 rib collar, reinforced 2 button-placket with buttons tone-in-tone, necktape"
"01.0L09","Stretch Blouse long-sleeve","135g/m², 97% combed cotton, 3% elastane","Very tailored cut, concealed button-placket, rounded hem, with trendy insert"
"01.0P21","Poplin Stretch Shirt long-sleeve","135g/m², 97% combed cotton, 3% elastane, poplin","Cut-away collar with 2 buttons, square, 2 buttons adjustable cuffs with additional buttonholes for cufflink, rounded bottom hem with square-shaped side reinforcements, horizontal last buttonhole, 2 spare buttons, cross-stitched mother-of-pearl buttons tone-in-tone, darts on back, can also be worn over the pants, moderate length"
"01.0P22","Poplin Stretch Shirt short-sleeve","135g/m², 97% combed cotton, 3% elastane","Cut-away boned collar and elastic fusing, rounded bottom hem with square-shaped side reinforcements, horizontal last buttonhole, 1 spare button, cross-stitched mother-of-pearl buttons tone-in-tone, double folded seam at the side and on the sleeves, darts on back"
"01.0P23","Poplin Stretch Blouse long-sleeve","135g/m², 97% combed cotton, 3% elastane, poplin","Soft fused feminine collar, square, 2 buttons adjustable cuffs with additional buttonholes for cufflink, rounded hem, matching mother-of-pearl buttons sewn in cross-stich, horizontal last buttonhole, 1 spare button, darts on the chest, front and back, can also be worn over the pants, soft poplin material with stretch"
"01.0P24","Poplin Stretch Blouse short-sleeve","135g/m², 97% combed cotton, 3% elastane","Feminine collar, folded sleeve hem, rounded hem, matching mother-of-pearl buttons sewn in cross-stich, horizontal last buttonhole, 1 spare button, darts on the chest, front and back, can also be worn over the pants, soft poplin material with stretch"
"01.0P41","Poplin Shirt long-sleeve","125g/m², 100% combed cotton","Cut-away boned collar and elastic fusing, squared cuff gauntlets with button, rounded bottom hem with square-shaped side reinforcements, straight cuff with exclusive 3 closure option (classic white tie with or without cufflinks), matching mother-of-pearl buttons sewn in cross-stich, horizontal last buttonhole, 2 spare buttons, left chest pocket, double folded seam at the side and on the sleeves, back yoke with 2 side pleats and quilted seams, easy-care, tie fix, easy care, 50° washable"
"01.0P42","Poplin Shirt short-sleeve","125g/m², 100% combed cotton","Cut-away boned collar and elastic fusing, folded sleeve hem, rounded bottom hem with square-shaped side reinforcements, matching mother-of-pearl buttons sewn in cross-stich, horizontal last buttonhole, 1 spare button, left chest pocket, double folded seam at the side and on the sleeves, back yoke with 2 side pleats and quilted seams, easy-care, tie fix, easy care, 50° washable"
"01.0P43","Poplin Blouse long-sleeve","125g/m², 100% combed cotton","Tailored cut with darts on the chest and back, soft fused feminine collar, straight double button cuff with french cuff option, cuff gauntlets, rounded hem, matching mother-of-pearl buttons sewn in cross-stich, horizontal last buttonhole, 1 spare button, easy-care, easy care, 50° washable"
"01.0P44","Poplin Blouse short-sleeve","125g/m², 100% combed cotton","Tailored cut with darts on chest, front and back, soft fused feminine collar, folded sleeve hem, rounded hem, matching mother-of-pearl buttons sewn in cross-stich, horizontal last buttonhole, 1 spare button, easy-care, easy care, 50° washable"
"01.0P61","Mix Poplin Shirt long-sleeve","115g/m², 65% polyester, 35% combed cotton","Cut-away collar with elastic fusing, square, 2 buttons adjustable cuffs with additional buttonholes for cufflink, rounded hem, matching mother-of-pearl buttons sewn in cross-stich, horizontal last buttonhole, 2 spare buttons, 1 spare button, left chest pocket, double folded seam at the side and on the sleeves, back yoke with 2 side pleats, easy care, 50° washable"
"01.0P62","Mix Poplin Shirt short-sleeve","115g/m², 65% polyester, 35% combed cotton","Cut-away boned collar and elastic fusing, folded sleeve hem, rounded hem, matching mother-of-pearl buttons sewn in cross-stich, horizontal last buttonhole, 2 spare buttons, left chest pocket, double folded seam at the side and on the sleeves, back yoke with 2 side pleats, easy care, 50° washable"
"01.0P63","Mix Poplin Blouse long-sleeve","115g/m², 65% polyester, 35% combed cotton","Tailored cut with darts on chest, front and back, soft fused feminine collar, square, 2 buttons adjustable cuffs with additional buttonholes for cufflink, cuff gauntlets, rounded hem, matching mother-of-pearl buttons sewn in cross-stich, horizontal last buttonhole, 1 spare button, easy care, 50° washable"
"01.0P64","Mix Poplin Blouse short-sleeve","115g/m², 65% polyester, 35% combed cotton","Tailored cut with darts on chest, front and back, soft fused feminine collar, folded sleeve hem, rounded hem, matching mother-of-pearl buttons sewn in cross-stich, horizontal last buttonhole, 1 spare button, easy care, 50° washable"
"01.0T81","Twill Shirt long-sleeve","130g/m², 100% combed cotton, twill","Semi boned cut-away collar with elastic fusing, square, 2 buttons adjustable cuffs with additional buttonholes for cufflink, rounded bottom hem with square-shaped side reinforcements, matching mother-of-pearl buttons sewn in cross-stich, horizontal last buttonhole, 2 spare buttons, left chest pocket, double folded seam at the side and on the sleeves, back yoke with 2 side pleats and quilted seams, soft surface, B&C tie fix©, easy care, 50° washable"
"01.0T82","Twill Shirt short-sleeve","130g/m², 100% combed cotton, twill","Semi boned cut-away collar with elastic fusing, folded sleeve hem with double stitching, rounded bottom hem with square-shaped side reinforcements, matching mother-of-pearl buttons sewn in cross-stich, horizontal last buttonhole, 2 spare buttons, left chest pocket, double folded seam at the side and on the sleeves, back yoke with 2 side pleats and quilted seams, soft surface, B&C tie fix©, easy care, 50° washable"
