"sku","status"
"48102157434","ACTUAL"
"48102157412","ACTUAL"
"48102158036","ACTUAL"
"48102158034","ACTUAL"
"48102158012","ACTUAL"
"48101120036","ACTUAL"
"48101120034","ACTUAL"
"48101120012","ACTUAL"
"48101123536","ACTUAL"
"48101123534","ACTUAL"
"48101123512","ACTUAL"
"48101702899","ACTUAL"
"48101602899","ACTUAL"
"48101502899","ACTUAL"
"48100302899","ACTUAL"
"48103102899","ACTUAL"
"481031e1299","ACTUAL"
"48100402099","ACTUAL"
"481001e1499","ACTUAL"
"481001w3299","ACTUAL"
"48100111899","ACTUAL"
"481001w3799","ACTUAL"
"48100320099","ACTUAL"
"48100312299","ACTUAL"
"48100323599","ACTUAL"
"48100303799","ACTUAL"
"48100304099","ACTUAL"
"48103104099","ACTUAL"
"48103103399","ACTUAL"
"48103120099","ACTUAL"
"48103112299","ACTUAL"
"48103123599","ACTUAL"
"48103144099","ACTUAL"
"48100308999","ACTUAL"
"48101998099","ACTUAL"
"481019e0899","ACTUAL"
"481046w2999","ACTUAL"
"48104711899","ACTUAL"
"481047h2299","ACTUAL"
"481047w3299","ACTUAL"
"48104700199","ACTUAL"
"48104702099","ACTUAL"
"48104708999","ACTUAL"
"48101708999","ACTUAL"
"48101608999","ACTUAL"
"48101508999","ACTUAL"
"48103108999","ACTUAL"
"48100611899","ACTUAL"
"48100511899","ACTUAL"
"48100311899","ACTUAL"
"48103111899","ACTUAL"
"481006w3799","ACTUAL"
"481005w3799","ACTUAL"
"481003w3799","ACTUAL"
"481031w3799","ACTUAL"
"481006w3299","ACTUAL"
"481005w3299","ACTUAL"
"481003w3299","ACTUAL"
"481031w3299","ACTUAL"
"481006e1499","ACTUAL"
"481005e1499","ACTUAL"
"481003e1499","ACTUAL"
"481031e1499","ACTUAL"
"481056w2899","ACTUAL"
"481056w3099","ACTUAL"
"48105685699","ACTUAL"
"481056w2999","ACTUAL"
"48101145036","ACTUAL"
"48101145034","ACTUAL"
"48101145012","ACTUAL"
"48101100436","ACTUAL"
"48101100434","ACTUAL"
"48101100412","ACTUAL"
"481058h3199","ACTUAL"
"481058y7299","ACTUAL"
"481058y7199","ACTUAL"
"481058y7399","ACTUAL"
"481046e0599","ACTUAL"
"481046w2799","ACTUAL"
"48104685899","ACTUAL"
"48104685699","ACTUAL"
"48104100199","ACTUAL"
"48104000199","ACTUAL"
"48103900199","ACTUAL"
"481057q4199","ACTUAL"
"48105785699","ACTUAL"
"48105212299","SELLOUT"
"48105200499","SELLOUT"
"48105245099","SELLOUT"
"48105200399","SELLOUT"
"481052h2299","SELLOUT"
"48105202099","SELLOUT"
"48105200299","SELLOUT"
"48105312299","SELLOUT"
"48105300499","SELLOUT"
"48105345099","SELLOUT"
"48105300399","SELLOUT"
"481053h2299","SELLOUT"
"48105302099","SELLOUT"
"48105300199","SELLOUT"
"481056h9599","ACTUAL"
"48105012299","ACTUAL"
"48105000499","ACTUAL"
"48105045099","ACTUAL"
"48105002099","ACTUAL"
"48105000199","ACTUAL"
"48105000399","ACTUAL"
"481050h2299","ACTUAL"
"48105000299","ACTUAL"
"48104812299","ACTUAL"
"48104800499","ACTUAL"
"48104845099","ACTUAL"
"48104802099","ACTUAL"
"48104800199","ACTUAL"
"48104800399","ACTUAL"
"481048h2299","ACTUAL"
"48104800299","ACTUAL"
"48105112299","ACTUAL"
"48105100499","ACTUAL"
"48105145099","ACTUAL"
"48105102099","ACTUAL"
"48105100199","ACTUAL"
"48105100399","ACTUAL"
"481051h2299","ACTUAL"
"48105100299","ACTUAL"
"48104332636","ACTUAL"
"48104332634","ACTUAL"
"48104332612","ACTUAL"
"481043v4236","ACTUAL"
"481043v4234","ACTUAL"
"481043v4212","ACTUAL"
"48104302036","ACTUAL"
"48104302034","ACTUAL"
"48104302012","ACTUAL"
"481043h2236","ACTUAL"
"481043h2234","ACTUAL"
"481043h2212","ACTUAL"
"48104400134","ACTUAL"
"48104500199","ACTUAL"
"48103800199","ACTUAL"
"48103700199","ACTUAL"
"48103600199","ACTUAL"
"48101263836","ACTUAL"
"48101263834","ACTUAL"
"48101263812","ACTUAL"
"481012e5836","ACTUAL"
"481012e5834","ACTUAL"
"481012e5812","ACTUAL"
"48103502299","ACTUAL"
"48103402299","ACTUAL"
"48101996399","ACTUAL"
"481035v4299","ACTUAL"
"481035w0599","ACTUAL"
"48103500199","ACTUAL"
"48103503999","ACTUAL"
"48103532699","ACTUAL"
"481034v4299","ACTUAL"
"481034w0599","ACTUAL"
"48103400199","ACTUAL"
"48101732699","ACTUAL"
"481026910j6","ACTUAL"
"481026910j5","ACTUAL"
"481026w06j6","ACTUAL"
"481026w06j5","ACTUAL"
"481026908j6","ACTUAL"
"481026908j5","ACTUAL"
"481026898j6","ACTUAL"
"481026898j5","ACTUAL"
"48103103999","ACTUAL"
"48102712299","ACTUAL"
"48100804099","ACTUAL"
"48100803799","ACTUAL"
"48100800199","ACTUAL"
"481012a6234","ACTUAL"
"48101281912","ACTUAL"
"48101281936","ACTUAL"
"481012a6236","ACTUAL"
"48101281934","ACTUAL"
"481012a6212","ACTUAL"
"48102050899","ACTUAL"
"48102003799","ACTUAL"
"48102012099","ACTUAL"
"48102067099","ACTUAL"
"48101989699","ACTUAL"
"48101935299","ACTUAL"
"48101941399","ACTUAL"
"481019e5899","ACTUAL"
"48102220099","ACTUAL"
"48102200499","ACTUAL"
"48102203399","ACTUAL"
"48102200399","ACTUAL"
"48102203999","ACTUAL"
"48102200299","ACTUAL"
"481025e1299","ACTUAL"
"48102502099","ACTUAL"
"48102500399","ACTUAL"
"48102500299","ACTUAL"
"48102500199","ACTUAL"
"481017v4399","ACTUAL"
"481017h2299","ACTUAL"
"481017v4299","ACTUAL"
"48101758099","ACTUAL"
"48101750899","ACTUAL"
"48101757499","ACTUAL"
"48101657499","ACTUAL"
"48101632699","ACTUAL"
"48101650899","ACTUAL"
"48101658099","ACTUAL"
"48101600299","ACTUAL"
"48101637099","ACTUAL"
"481016v4399","ACTUAL"
"48101602099","ACTUAL"
"481016v4299","ACTUAL"
"48101600399","ACTUAL"
"48101600199","ACTUAL"
"48101550899","ACTUAL"
"48101558099","ACTUAL"
"481015h2299","ACTUAL"
"481015v4399","ACTUAL"
"48101557499","ACTUAL"
"481015v4299","ACTUAL"
"48101532699","ACTUAL"
"48100200399","ACTUAL"
"48100202099","ACTUAL"
"48100200199","ACTUAL"
"481031v4399","ACTUAL"
"481031h2299","ACTUAL"
"48103403999","ACTUAL"
"481003h2299","ACTUAL"
"48103432699","ACTUAL"
"481003v4399","ACTUAL"
"481007040i3","ACTUAL"
"481007040i2","ACTUAL"
"481007040i1","ACTUAL"
"481007037i3","ACTUAL"
"481007037i2","ACTUAL"
"481007037i1","ACTUAL"
"48100904099","ACTUAL"
"48100903799","ACTUAL"
"48103103799","ACTUAL"
"48103157499","ACTUAL"
"48103158099","ACTUAL"
"481031v4299","ACTUAL"
"48103150899","ACTUAL"
"48100357499","ACTUAL"
"48100358099","ACTUAL"
"481003v4299","ACTUAL"
"48100350899","ACTUAL"
"48100157499","ACTUAL"
"48100158099","ACTUAL"
"481001v4299","ACTUAL"
"48100150899","ACTUAL"
"48100657499","ACTUAL"
"48100658099","ACTUAL"
"481006v4299","ACTUAL"
"48100650899","ACTUAL"
"48100557499","ACTUAL"
"48100558099","ACTUAL"
"481005v4299","ACTUAL"
"48100550899","ACTUAL"
"481019a6299","ACTUAL"
"48101987199","ACTUAL"
"481019h0999","ACTUAL"
"48101981999","ACTUAL"
"48101994199","ACTUAL"
"48101963899","ACTUAL"
"481026902j6","ACTUAL"
"481026902j5","ACTUAL"
"481013440i6","ACTUAL"
"481013440i5","ACTUAL"
"481013440i4","ACTUAL"
"481013e12i6","ACTUAL"
"481013e12i5","ACTUAL"
"481013e12i4","ACTUAL"
"481013001i6","ACTUAL"
"481013001i5","ACTUAL"
"481013001i4","ACTUAL"
"481007440i3","ACTUAL"
"481007440i2","ACTUAL"
"481007440i1","ACTUAL"
"481007e12i3","ACTUAL"
"481007e12i2","ACTUAL"
"481007e12i1","ACTUAL"
"481007001i3","ACTUAL"
"481007001i2","ACTUAL"
"481007001i1","ACTUAL"
"48100062299","ACTUAL"
"481000g2199","ACTUAL"
"48100090299","ACTUAL"
"48100944099","ACTUAL"
"481009e1299","ACTUAL"
"48100900199","ACTUAL"
"48102137036","ACTUAL"
"48102137034","ACTUAL"
"48102137012","ACTUAL"
"481021e1236","ACTUAL"
"481021e1234","ACTUAL"
"481021e1212","ACTUAL"
"48102144036","ACTUAL"
"48102144034","ACTUAL"
"48102144012","ACTUAL"
"48102102036","ACTUAL"
"48102102034","ACTUAL"
"48102102012","ACTUAL"
"48102100236","ACTUAL"
"48102100234","ACTUAL"
"48102100212","ACTUAL"
"48102100336","ACTUAL"
"48102100334","ACTUAL"
"48102100312","ACTUAL"
"48102100136","ACTUAL"
"48102100134","ACTUAL"
"48102100112","ACTUAL"
"48101100236","ACTUAL"
"48101100234","ACTUAL"
"48101100212","ACTUAL"
"48101100336","ACTUAL"
"48101100334","ACTUAL"
"48101100312","ACTUAL"
"48101100136","ACTUAL"
"48101100134","ACTUAL"
"48101100112","ACTUAL"
"48103135099","ACTUAL"
"48103114599","ACTUAL"
"48103137099","ACTUAL"
"48103113099","ACTUAL"
"48103145099","ACTUAL"
"48103100399","ACTUAL"
"48103100499","ACTUAL"
"48103102099","ACTUAL"
"48103100299","ACTUAL"
"48103100199","ACTUAL"
"481011w3212","ACTUAL"
"481011w3234","ACTUAL"
"481011w3236","ACTUAL"
"481027e1299","ACTUAL"
"48102744099","ACTUAL"
"48102703399","ACTUAL"
"48102745099","ACTUAL"
"48102700399","ACTUAL"
"48102700499","ACTUAL"
"48102702099","ACTUAL"
"48102700299","ACTUAL"
"48102700199","ACTUAL"
"481018e1299","ACTUAL"
"48101844099","ACTUAL"
"48101812299","ACTUAL"
"48101803399","ACTUAL"
"48101845099","ACTUAL"
"48101800399","ACTUAL"
"48101800499","ACTUAL"
"48101802099","ACTUAL"
"48101800299","ACTUAL"
"48102300199","ACTUAL"
"48102200199","ACTUAL"
"48100400399","ACTUAL"
"48100400199","ACTUAL"
"48100303399","ACTUAL"
"48100344099","ACTUAL"
"481003e1299","ACTUAL"
"48100345099","ACTUAL"
"48100313099","ACTUAL"
"48100300399","ACTUAL"
"48100300499","ACTUAL"
"48100302099","ACTUAL"
"48100300299","ACTUAL"
"48100300199","ACTUAL"
"48101437099","ACTUAL"
"48101402099","ACTUAL"
"48101400399","ACTUAL"
"48101400299","ACTUAL"
"48101400199","ACTUAL"
"48101737099","ACTUAL"
"48101702099","ACTUAL"
"48101700399","ACTUAL"
"48101700299","ACTUAL"
"48101700199","ACTUAL"
"48101537099","ACTUAL"
"48101502099","ACTUAL"
"48101500399","ACTUAL"
"48101500299","ACTUAL"
"48101500199","ACTUAL"
"48100104099","ACTUAL"
"48100102099","ACTUAL"
"48100120099","ACTUAL"
"48100112299","ACTUAL"
"48100103399","ACTUAL"
"48100123599","ACTUAL"
"48100103999","ACTUAL"
"48100113099","ACTUAL"
"481001e1299","ACTUAL"
"48100144099","ACTUAL"
"48100114599","ACTUAL"
"48100145099","ACTUAL"
"48100135099","ACTUAL"
"48100103799","ACTUAL"
"48100100399","ACTUAL"
"48100100499","ACTUAL"
"48100100299","ACTUAL"
"48100100199","ACTUAL"
"48100604099","ACTUAL"
"48100602099","ACTUAL"
"48100620099","ACTUAL"
"48100612299","ACTUAL"
"48100603399","ACTUAL"
"48100623599","ACTUAL"
"48100603999","ACTUAL"
"48100613099","ACTUAL"
"481006e1299","ACTUAL"
"48100644099","ACTUAL"
"48100614599","ACTUAL"
"48100645099","ACTUAL"
"48100635099","ACTUAL"
"48100603799","ACTUAL"
"48100600399","ACTUAL"
"48100600499","ACTUAL"
"48100600299","ACTUAL"
"48100600199","ACTUAL"
"48100504099","ACTUAL"
"48100502099","ACTUAL"
"48100520099","ACTUAL"
"48100512299","ACTUAL"
"48100503399","ACTUAL"
"48100523599","ACTUAL"
"48100503999","ACTUAL"
"48100513099","ACTUAL"
"481005e1299","ACTUAL"
"48100544099","ACTUAL"
"48100514599","ACTUAL"
"48100545099","ACTUAL"
"48100535099","ACTUAL"
"48100503799","ACTUAL"
"48100500399","ACTUAL"
"48100500499","ACTUAL"
"48100500299","ACTUAL"
"48100500199","ACTUAL"
"33023401799","NEW"
"33010405299","NEW"
"33010755099","NEW"
"33010700199","NEW"
"33010954099","NEW"
"33010900499","NEW"
"33010354099","NEW"
"33010300499","NEW"
"33012096399","NEW"
"330120a8099","NEW"
"33012081099","NEW"
"330102a8099","NEW"
"33010296399","NEW"
"33010281099","NEW"
"33010298099","NEW"
"33023498199","NEW"
"330234q6299","NEW"
"33022705299","NEW"
"33022700399","NEW"
"33022700299","NEW"
"33022605299","NEW"
"33022600399","NEW"
"33022600299","NEW"
"330234y2299","NEW"
"33023431399","NEW"
"330234g6199","NEW"
"330234y2399","NEW"
"33023105099","NEW"
"33023100499","NEW"
"33023100399","NEW"
"33023100299","NEW"
"33023167099","NEW"
"33023100199","NEW"
"33022755099","NEW"
"33022767099","NEW"
"33022737099","NEW"
"33022614599","NEW"
"33022607699","NEW"
"33022800399","NEW"
"33022800299","NEW"
"33022801899","NEW"
"33022807699","NEW"
"33022500499","NEW"
"33022500399","NEW"
"33022500299","NEW"
"33022567099","NEW"
"33023236199","NEW"
"33023280899","NEW"
"33023226199","NEW"
"33023285199","NEW"
"33023282699","NEW"
"33023054099","NEW"
"33023005099","NEW"
"33023000499","NEW"
"33023000399","NEW"
"33023000299","NEW"
"33023067099","NEW"
"33023007699","NEW"
"33023037099","NEW"
"33023000199","NEW"
"33023655099","NEW"
"33023655599","NEW"
"33023355099","NEW"
"33023355599","NEW"
"33022900399","NEW"
"33022900299","NEW"
"33022900199","NEW"
"33023705099","NEW"
"33023704899","NEW"
"33023700499","NEW"
"33023700399","NEW"
"33023700299","NEW"
"33023720099","NEW"
"33023700199","NEW"
"33023703799","NEW"
"33022400399","NEW"
"33022400299","NEW"
"33022467099","NEW"
"33022300299","NEW"
"330223p6299","NEW"
"330223z1799","NEW"
"33022255099","NEW"
"33022200399","NEW"
"33022200299","NEW"
"33022207199","NEW"
"33022259099","NEW"
"33022105099","NEW"
"33022100499","NEW"
"33022155099","NEW"
"33022100399","NEW"
"33022100299","NEW"
"33022167099","NEW"
"33023505099","NEW"
"33023504899","NEW"
"33023500499","NEW"
"33023500399","NEW"
"33023500299","NEW"
"33023503799","NEW"
"33022054099","NEW"
"33022005099","NEW"
"33022004899","NEW"
"33022000499","NEW"
"33022055099","NEW"
"33022000399","NEW"
"33022000299","NEW"
"33022008599","NEW"
"33022067099","NEW"
"330220p6299","NEW"
"33022031099","NEW"
"33022037099","NEW"
"33022000199","NEW"
"33022012599","NEW"
"33022003799","NEW"
"330220z1799","NEW"
"33010700499","NEW"
"330118zk399","ACTUAL"
"33011607699","ACTUAL"
"330113j6299","ACTUAL"
"33011603399","ACTUAL"
"33011605099","ACTUAL"
"33011600499","ACTUAL"
"33011600399","ACTUAL"
"33011600299","ACTUAL"
"33011620099","ACTUAL"
"33011600199","ACTUAL"
"33011603799","ACTUAL"
"33011555099","ACTUAL"
"33011500399","ACTUAL"
"33011500299","ACTUAL"
"33011555599","ACTUAL"
"33011567099","ACTUAL"
"33011500199","ACTUAL"
"33011705099","ACTUAL"
"33011700499","ACTUAL"
"33011700399","ACTUAL"
"33011700299","ACTUAL"
"33011700199","ACTUAL"
"33010805099","ACTUAL"
"33010855099","ACTUAL"
"33010800399","ACTUAL"
"33010800299","ACTUAL"
"33010867099","ACTUAL"
"33010800199","ACTUAL"
"33011805099","ACTUAL"
"33011800399","ACTUAL"
"33011800299","ACTUAL"
"33011867099","ACTUAL"
"33011903999","ACTUAL"
"33011005099","ACTUAL"
"33011004899","ACTUAL"
"33011000499","ACTUAL"
"33011000399","ACTUAL"
"33011000299","ACTUAL"
"33011055599","ACTUAL"
"330110zc399","ACTUAL"
"33010404899","ACTUAL"
"33010422999","ACTUAL"
"33010400499","ACTUAL"
"33010455099","ACTUAL"
"33010400399","ACTUAL"
"33010400299","ACTUAL"
"33010455599","ACTUAL"
"33010467099","ACTUAL"
"330104zc399","ACTUAL"
"33010400199","ACTUAL"
"330111j6299","ACTUAL"
"33011105099","ACTUAL"
"33011104899","ACTUAL"
"33011100499","ACTUAL"
"33011100399","ACTUAL"
"33011100299","ACTUAL"
"330111zc499","ACTUAL"
"330119j6299","ACTUAL"
"33011905099","ACTUAL"
"33011955099","ACTUAL"
"33011900399","ACTUAL"
"33011900299","ACTUAL"
"33011908599","ACTUAL"
"33011937099","ACTUAL"
"33011923599","ACTUAL"
"33011300399","ACTUAL"
"33011300299","ACTUAL"
"33011308599","ACTUAL"
"33011303999","ACTUAL"
"33011337099","ACTUAL"
"330113zc499","ACTUAL"
"33010767099","ACTUAL"
"33010705099","ACTUAL"
"33010700399","ACTUAL"
"33010700299","ACTUAL"
"33010105099","ACTUAL"
"33010100399","ACTUAL"
"33010100299","ACTUAL"
"33010167099","ACTUAL"
"33016667099","ACTUAL"
"33010305099","ACTUAL"
"33010355099","ACTUAL"
"33010300399","ACTUAL"
"33010300299","ACTUAL"
"33010355599","ACTUAL"
"33010367099","ACTUAL"
"33010300199","ACTUAL"
"33010905099","ACTUAL"
"33010955099","ACTUAL"
"33010900399","ACTUAL"
"33010900299","ACTUAL"
"33010955599","ACTUAL"
"33010967099","ACTUAL"
"33010900199","ACTUAL"
"33010288399","ACTUAL"
"33010263499","ACTUAL"
"33010285799","ACTUAL"
"33010280899","ACTUAL"
"33010271299","ACTUAL"
"33010226199","ACTUAL"
"33010290299","ACTUAL"
"33012088399","ACTUAL"
"33012063499","ACTUAL"
"33012085799","ACTUAL"
"33012080899","ACTUAL"
"33012071299","ACTUAL"
"33012026199","ACTUAL"
"33012098099","NEW"
"33012090299","ACTUAL"
"33800054099","ACTUAL"
"338000zc299","ACTUAL"
"33800012599","ACTUAL"
"33800003799","ACTUAL"
"33800023599","ACTUAL"
"33011445599","ACTUAL"
"33011455099","ACTUAL"
"33011400399","ACTUAL"
"33011400299","ACTUAL"
"33011408599","ACTUAL"
